PURCH_ORDER,SUPPLIER_ORIGIN,CURRENCY
B0043809,UK,
B0043825,Germany,EUR
B0043916,UK,
B0043917,UK,
B0043918,UK,
B0043826,Germany,EUR
B0043827,Germany,EUR
B0043832,UK,
B0043833,UK,
B0043834,UK,
B0043887,UK,
B0043888,UK,
B0043889,UK,
B0043890,UK,
B0043891,UK,
B0043894,UK,
B0043895,UK,
B0043896,UK,
B0043897,UK,
B0043898,UK,
B0043900,UK,
B0043902,UK,
B0043904,UK,
B0043905,UK,
B0043907,UK,
B0043908,UK,
B0043919,UK,
B0043920,UK,
B0043922,UK,
B0043923,UK,
B0043924,UK,
B0043925,UK,
B0043926,UK,
B0043928,UK,
B0043953,Germany,EUR
B0043970,UK,
B0043971,UK,
B0043995,Germany,EUR
B0044021,UK,
B0044022,UK,
B0044023,UK,
B0044028,UK,
B0044033,UK,
B0044035,UK,
B0044118,UK,
B0044160,Germany,EUR
B0044162,Germany,EUR
B0044043,UK,
B0044044,UK,
B0044047,UK,
B0044048,UK,
B0044051,UK,
B0044057,UK,
B0044067,UK,
B0044068,UK,
B0044091,UK,
B0044098,UK,
B0044111,UK,
B0044134,UK,
B0044155,UK,
B0044209,Germany,EUR
B0044607,UK,
B0044634,UK,
B0044635,UK,
B0044639,UK,
B0044223,Germany,EUR
B0044247,UK,
B0044252,UK,
B0044265,UK,
B0044266,UK,
B0044267,UK,
B0044282,UK,
B0044287,UK,
B0044297,UK,
B0044298,UK,
B0044354,UK,
B0044355,UK,
B0044382,UK,
B0044386,UK,
B0044387,UK,
B0044397,UK,
B0044411,UK,
B0044594,UK,
B0044595,UK,
B0044606,UK,
B0044414,UK,
B0044444,UK,
B0044445,UK,
B0044457,UK,
B0044482,Germany,EUR
B0044483,UK,
B0044484,UK,
B0044485,UK,
B0044486,UK,
B0044549,UK,
B0044550,UK,
B0044551,UK,
B0044552,UK,
B0044553,UK,
B0044554,UK,
B0044658,Germany,EUR
B0044659,Germany,EUR
B0044703,Germany,EUR
B0044556,UK,
B0044557,UK,
B0044558,UK,
B0044559,UK,
B0044560,UK,
B0044561,UK,
B0044562,UK,
B0044563,UK,
B0044564,UK,
B0044565,UK,
B0044567,UK,
B0044568,UK,
B0044569,UK,
B0044570,UK,
B0044571,UK,
B0044720,UK,
B0044721,UK,
B0044746,UK,
B0044572,UK,
B0044573,UK,
B0044574,UK,
B0044575,UK,
B0044576,UK,
B0044577,UK,
B0044578,UK,
B0044579,UK,
B0044584,UK,
B0044585,UK,
B0044586,UK,
B0044587,UK,
B0044588,UK,
B0044589,UK,
B0044747,UK,
B0044760,UK,
B0044761,UK,
B0044766,UK,
B0044596,UK,
B0044624,Germany,EUR
B0044644,Germany,EUR
B0044675,UK,
B0044698,UK,
B0044777,UK,
B0044778,Germany,EUR
B0044779,Germany,EUR
B0044783,UK,
B0044784,UK,
B0044829,UK,
B0044834,UK,
B0044911,UK,
B0044925,UK,
B0044939,Germany,EUR
B0044961,UK,
B0044962,UK,
B0044985,UK,
B0044986,UK,
B0044998,Germany,EUR
B0045007,Germany,EUR
B0045008,Germany,EUR
B0045050,USA,USD
B0045051,USA,USD
B0045056,UK,
B0045057,UK,
B0045058,UK,
B0045062,UK,
B0045063,UK,
B0045064,UK,
B0045065,UK,
B0045066,UK,
B0045067,UK,
B0045068,UK,
B0045069,UK,
B0045074,UK,
B0045075,UK,
B0045079,UK,
B0045084,UK,
B0045085,UK,
B0045087,UK,
B0045089,UK,
B0045090,UK,
B0045091,UK,
B0045092,UK,
B0045093,UK,
B0045094,UK,
B0045095,UK,
B0045096,UK,
B0045097,UK,
B0045099,UK,
B0045100,UK,
B0045102,UK,
B0045103,UK,
B0045104,UK,
B0045105,UK,
B0045106,UK,
B0045107,UK,
B0045110,UK,
B0045119,Germany,EUR
B0045120,Germany,EUR
B0045137,UK,
B0045138,UK,
B0045145,UK,
B0045146,UK,
B0045147,UK,
B0045148,UK,
B0045149,UK,
B0045150,UK,
B0045152,UK,
B0045163,Germany,EUR
B0045164,CZK,CZK
B0045171,Germany,EUR
B0045172,Germany,EUR
B0045177,Germany,EUR
B0045179,Germany,EUR
B0045185,Germany,EUR
B0045212,Germany,EUR
B0045213,Germany,EUR
B0045242,UK,
B0045186,Germany,EUR
B0045187,Germany,EUR
B0045206,UK,
B0045230,Germany,EUR
B0045248,UK,
B0045252,UK,
B0045253,UK,
B0045254,UK,
B0045255,UK,
B0045309,UK,
B0045310,UK,
B0045312,UK,
B0045334,UK,
B0045337,UK,
B0045338,UK,
B0045339,UK,
B0045340,UK,
B0045352,UK,
B0045353,UK,
B0045365,UK,
B0045366,UK,
B0045431,Germany,EUR
B0045432,UK,
B0045433,UK,
B0045459,Germany,EUR
B0045460,Germany,EUR
B0045462,Germany,EUR
B0045463,Germany,EUR
B0045464,Germany,EUR
B0045480,Germany,EUR
B0045481,UK,
B0045482,Germany,EUR
B0045507,Germany,EUR
B0045552,UK,
B0045553,UK,
B0045563,UK,
B0045564,UK,
B0045632,UK,
B0045633,UK,
B0045678,UK,
B0045592,UK,
B0045595,UK,
B0045596,UK,
B0045621,Germany,EUR
B0045643,UK,
B0045652,UK,
B0045653,UK,
B0045686,UK,
B0045701,USA,USD
B0045705,USA,USD
B0045719,USA,USD
B0045731,Germany,EUR
B0045735,UK,
B0045738,UK,
B0045739,UK,
B0045892,Germany,EUR
B0045901,UK,
B0045914,UK,
B0045792,UK,
B0045798,UK,
B0045799,UK,
B0045800,UK,
B0045801,UK,
B0045802,UK,
B0045803,UK,
B0045804,UK,
B0045805,UK,
B0045806,UK,
B0045807,UK,
B0045839,Germany,EUR
B0045840,Germany,EUR
B0045841,UK,
B0045858,Germany,EUR
B0045874,UK,
B0045882,UK,
B0045844,UK,
B0045885,Sweden,SEK
B0045915,UK,
B0045916,UK,
B0045917,UK,
B0045926,UK,
B0045934,UK,
B0045936,UK,
B0045943,UK,
B0045957,UK,
B0045959,UK,
B0045985,UK,
B0045986,UK,
B0045987,UK,
B0045988,UK,
B0045989,UK,
B0045990,UK,
B0045991,UK,
B0046149,Germany,EUR
B0046171,Germany,EUR
B0045997,UK,
B0046003,UK,
B0046010,UK,
B0046011,UK,
B0046014,Germany,EUR
B0046015,Germany,EUR
B0046052,Germany,EUR
B0046053,Germany,EUR
B0046088,Germany,EUR
B0046096,Germany,EUR
B0046097,Germany,EUR
B0046098,UK,
B0046099,UK,
B0046100,UK,
B0046106,UK,
B0046112,UK,
B0046115,UK,
B0046136,UK,
B0046138,Germany,EUR
B0046148,Germany,EUR
B0046190,Germany,EUR
B0046202,UK,
B0046203,UK,
B0046204,UK,
B0046205,UK,
B0046247,Germany,EUR
B0046248,Germany,EUR
B0046249,Germany,EUR
B0046250,Germany,EUR
B0046251,Germany,EUR
B0046252,Germany,EUR
B0046253,Germany,EUR
B0046254,Germany,EUR
B0046274,UK,
B0046276,UK,
B0046277,UK,
B0046280,UK,
B0046291,UK,
B0046293,UK,
B0046296,UK,
B0046299,UK,
B0046300,UK,
B0046307,USA,USD
B0046319,UK,
B0046323,UK,
B0046324,UK,
B0046325,UK,
B0046327,UK,
B0046369,UK,
B0046387,UK,
B0046388,UK,
B0046390,UK,
B0046403,UK,
B0046404,UK,
B0046443,UK,
B0046444,UK,
B0046574,Germany,EUR
B0046580,Germany,EUR
B0046581,UK,
B0046618,UK,
B0046657,Germany,EUR
B0046584,Germany,EUR
B0046585,Germany,EUR
B0046636,UK,
B0046639,UK,
B0046652,UK,
B0046653,UK,
B0046654,UK,
B0046655,UK,
B0046658,Germany,EUR
B0046668,UK,
B0046669,UK,
B0046670,Germany,EUR
B0046671,Germany,EUR
B0046689,UK,
B0046692,UK,
B0046694,UK,
B0046877,Germany,EUR
B0046912,UK,
B0046913,UK,
B0046698,UK,
B0046700,UK,
B0046703,Germany,EUR
B0046704,Germany,EUR
B0046726,UK,
B0046733,UK,
B0046734,UK,
B0046756,UK,
B0046757,UK,
B0046758,UK,
B0046759,UK,
B0046788,UK,
B0046790,UK,
B0046822,UK,
B0046823,UK,
B0046827,UK,
B0046832,UK,
B0046833,UK,
B0046873,UK,
B0046876,Germany,EUR
B0046926,UK,
B0046927,UK,
B0046931,UK,
B0046933,UK,
B0046960,UK,
B0046961,UK,
B0046975,UK,
B0046998,Germany,EUR
B0047000,Germany,EUR
B0047136,Germany,EUR
B0047137,Germany,EUR
B0047146,Germany,EUR
B0047153,Germany,EUR
B0047159,Germany,EUR
B0047160,Germany,EUR
B0047176,Germany,EUR
B0047177,Germany,EUR
B0047178,Germany,EUR
B0047179,UK,
B0047193,Germany,EUR
B0047188,UK,
B0047191,UK,
B0047192,UK,
B0047194,Germany,EUR
B0047195,UK,
B0047197,UK,
B0047198,UK,
B0047199,UK,
B0047200,UK,
B0047201,UK,
B0047202,UK,
B0047203,UK,
B0047204,UK,
B0047206,UK,
B0047207,UK,
B0047208,UK,
B0047210,USA,USD
B0047402,Germany,EUR
B0047403,Germany,EUR
B0047404,Germany,EUR
B0047214,UK,
B0047217,USA,USD
B0047220,UK,
B0047221,UK,
B0047228,UK,
B0047233,UK,
B0047240,UK,
B0047241,UK,
B0047282,UK,
B0047283,UK,
B0047284,UK,
B0047306,UK,
B0047318,UK,
B0047329,Germany,EUR
B0047330,Germany,EUR
B0047332,Germany,EUR
B0047340,Germany,EUR
B0047341,UK,
B0047342,UK,
B0047363,UK,
B0047370,Germany,EUR
B0047371,Germany,EUR
B0047372,Germany,EUR
B0047373,Germany,EUR
B0047374,Germany,EUR
B0047375,Germany,EUR
B0047376,Germany,EUR
B0047377,Germany,EUR
B0047378,Germany,EUR
B0047379,Germany,EUR
B0047383,Germany,EUR
B0047384,Germany,EUR
B0047389,Germany,EUR
B0047391,Germany,EUR
B0047392,Germany,EUR
B0047396,Germany,EUR
B0047399,Germany,EUR
B0047400,Germany,EUR
B0047401,Germany,EUR
B0047398,Germany,EUR
B0047405,Germany,EUR
B0047406,Germany,EUR
B0047407,Germany,EUR
