PURCH_ORDER,PART_NO,AREA,ORDER_TYPE,SUPPLIER,COST,CURRENCY,RAISED_DATE,CLOSED_DATE
B0084744,9G43-507A62-AC,G,B,V1436,8.824,EUR,7/25/12,2/14/13
B0084745,8D33-C20412-AF,G,B,V1436,171.0237,EUR,7/25/12,8/16/15
B0084746,8D33-C20413-AF,G,B,V1436,171.0237,EUR,7/25/12,8/16/15
B0084747,CD33-20838-BB,G,B,U9CJA,3.415,,7/25/12,12/7/13
B0084781,8G43-F01991-AF,G,B,V1436,9.3871,EUR,7/25/12,8/16/15
B0084782,AD43-5E209-BA,G,B,V1436,64.4704,EUR,7/25/12,8/16/15
B0084786,AD43-F40626-AA,G,B,V1436,190.7403,EUR,7/25/12,8/16/15
B0084748,8D33-C45108-AG,G,B,V1436,244.5412,EUR,7/25/12,8/16/15
B0084749,CD33-20839-BB,G,B,U9CJA,3.415,,7/25/12,12/7/13
B0084750,8D33-C41038-AD,G,B,V1436,39.7389,EUR,7/25/12,7/8/14
B0084751,8D33-C41033-AD,G,B,V1436,64.5848,EUR,7/25/12,7/8/14
B0084752,AD33-L41038-AE,G,B,V1436,50.5004,EUR,7/25/12,7/8/14
B0084753,AD33-L41033-AD,G,B,V1436,71.4628,EUR,7/25/12,7/8/14
B0084754,4G43-L20413-AP,G,B,V1436,143.7194,EUR,7/25/12,8/16/15
B0084755,4G43-L20412-AP,G,B,V1436,143.2872,EUR,7/25/12,8/16/15
B0084756,8G43-L45108-AA,G,B,V1436,225.6625,EUR,7/25/12,7/8/14
B0084758,9G33-C41038-AA,G,B,V1436,42.6425,EUR,7/25/12,8/16/15
B0084759,9G33-F01991-AC,G,B,V1436,18.3211,EUR,7/25/12,2/14/13
B0084760,9G33-F01990-AA,G,B,V1436,18.3211,EUR,7/25/12,2/14/13
B0084761,6G33--13B452--AF,G,B,V1436,9.6755,EUR,7/25/12,2/14/13
B0084762,6G33--13B453--AD,G,B,V1436,9.6755,EUR,7/25/12,2/14/13
B0084763,6G33--20412--AL,G,B,V1436,100.8167,EUR,7/25/12,7/8/14
B0084772,AD23-C41033-AA,G,B,V1436,66.1919,EUR,7/25/12,8/16/15
B0084773,AD23-C41038-AA,G,B,V1436,47.8214,EUR,7/25/12,8/16/15
B0084780,8G43-F01990-AF,G,B,V1436,9.3871,EUR,7/25/12,8/16/15
B0084764,6G33--20413--AL,G,B,V1436,100.8167,EUR,7/25/12,7/8/14
B0084765,8G33-C45108-AB,G,B,V1436,160.7494,EUR,7/25/12,7/8/14
B0084766,6G33--L13B452--AA,G,B,V1436,9.9107,EUR,7/25/12,2/14/13
B0084767,6G33--L13B453--AA,G,B,V1436,11.0381,EUR,7/25/12,2/14/13
B0084768,6G33--L20412--AD,G,B,V1436,102.5222,EUR,7/25/12,7/8/14
B0084769,6G33--L20413--AD,G,B,V1436,102.5222,EUR,7/25/12,7/8/14
B0084770,8G33-L45108-AA,G,B,V1436,173.5527,EUR,7/25/12,7/8/14
B0084771,6G33--L40110--AJ,G,B,V1436,157.5466,EUR,7/25/12,7/8/14
B0084774,AD23-F01991-AB,G,B,V1436,9.4079,EUR,7/25/12,2/14/13
B0084775,AD23-F01990-AB,G,B,V1436,9.4079,EUR,7/25/12,2/14/13
B0084776,DG43-C20412-AA,G,B,V1436,193.29,EUR,7/25/12,7/8/14
B0084777,DG43-C20413-AA,G,B,V1436,193.29,EUR,7/25/12,7/8/14
B0084783,AD43-F40626-AD,G,B,V1436,215.5737,EUR,7/25/12,7/8/14
B0084784,DG43-F01990-AC,G,B,V1436,11.403,EUR,7/25/12,2/14/13
B0084790,AD43-F279A55-AA,G,B,V1436,28.6857,EUR,7/25/12,8/16/15
B0084791,AD43-F20412-AA,G,B,V1436,208.6362,EUR,7/25/12,8/16/15
B0084792,AD43-F20413-AA,G,B,V1436,208.6362,EUR,7/25/12,8/16/15
B0084793,CD33-C50202-AB,G,B,V1436,506.9571,EUR,7/25/12,8/16/15
B0084795,CD33-C41038-AA,G,B,V1436,151.2246,EUR,7/25/12,1/24/13
B0084797,CD33-C41033-AB,G,B,V1436,177.7534,EUR,7/25/12,1/24/13
B0084799,DG43-3E525-AA,G,B,C62FA,3.7249,EUR,7/25/12,3/13/15
B0084800,CD33-C45108-AA,G,B,V1436,299.8724,EUR,7/25/12,8/16/15
B0084801,AY2Y-2510583-AA,G,B,U9CJA,4.76,,7/26/12,12/7/13
B0084802,AY2Y-2510584-AA,G,B,U9CJA,4.76,,7/26/12,12/7/13
B0084803,CD33-54279D22-AD,G,B,D0A4A,54.53,,7/26/12,10/18/12
B0084804,CD33-54279D23-AD,G,B,D0A4A,54.53,,7/26/12,10/18/12
B0084805,DD43-5284-AC,G,B,V00QA,9.948,,7/26/12,8/16/15
B0084806,CD33-16738-BB,G,B,Z1275,21.44,,7/26/12,8/16/15
B0084807,CD33-A14K159-AD,G,B,V1395,62.0079,EUR,7/26/12,11/16/12
B0084808,CD33-A14K158-AD,G,B,V1395,62.0079,EUR,7/26/12,11/16/12
B0084809,CD33-F42006-AC,G,B,D1Q6C,80.12,,7/26/12,4/3/13
B0084810,CD33-N29700-AC,G,B,D1Q6C,17.61,,7/26/12,4/3/13
B0084811,CD33-N29701-AC,G,B,D1Q6C,17.61,,7/26/12,4/3/13
B0084812,CD33-C21410-BC,G,B,D1Q6C,14.95,,7/26/12,4/3/13
B0084814,DD33-044B51-AA,G,B,ARS9A,302.33,,7/26/12,8/16/15
B0084815,DD33-044B52-AA,G,B,ARS9A,295.86,,7/26/12,8/16/15
B0084822,CD33-A9N648-AB,G,B,CW3LA,2.04,,7/27/12,2/4/13
B0084813,CD33-C21411-BC,G,B,D1Q6C,14.95,,7/26/12,4/3/13
B0084823,CD33-A9N649-AB,G,B,CW3LA,2.04,,7/27/12,2/4/13
