PART_NO,car
4G43-012M5TA-AA,2
4G43-014001-AA,2
4G43-014001-AA,3
4G43-014002-AA,2
4G43-014002-AA,3
4G43-014003-AA,2
4G43-014003-AA,3
4G43-014004-AA,2
4G43-014004-AA,3
4G43-014K00-AA,2
4G43-014K00-AA,3
4G43-014K00-AC,3
4G43-014K00-BA,2
4G43-014K00-BA,3
4G43-014K00-BC,3
4G43-014K00-CA,2
4G43-014K00-CA,3
4G43-014K00-DA,2
4G43-014K00-DA,3
4G43-014K96-AA,2
4G43-014K96-AB,2
4G43-014K96-AB,3
4G43-014K96-AC,3
4G43-014K96-BA,2
4G43-014K96-BA,3
4G43-014K96-BB,3
4G43-014K97-AA,2
4G43-014K97-AB,2
4G43-014K97-AB,3
4G43-014K97-BA,2
4G43-014K97-BA,3
4G43-015371-AA,1
4G43-015371-AA,2
4G43-015371-AA,5
4G43-015371-AA,4
4G43-01631-AA,2
4G43-01631-AD,2
4G43-01631-AE,2
4G43-017A16-AD,2
4G43-017A16-AF,2
4G43-017A16-AG,2
4G43-017A16-BD,2
4G43-017A16-BF,2
4G43-017A16-BG,2
4G43-018K28-AC,2
4G43-018K28-AD,2
4G43-018K28-AE,2
4G43-018K28-AF,2
4G43-018K29-AC,2
4G43-018K29-AD,2
4G43-018K29-AE,2
4G43-018K29-AF,2
4G43-01948-BD,2
4G43-01948-BE,2
4G43-01948-BF,2
4G43-020A92-AA,2
4G43-020A92-AA,3
4G43-020A92-AB,2
4G43-020A92-AB,3
4G43-02139-AA,2
4G43-02139-AA,3
4G43-02139-AB,2
4G43-02192-AA,2
4G43-02192-AB,2
4G43-02192-AB,3
4G43-02192-AC,2
4G43-02192-AC,3
4G43-02192-AF,2
4G43-02192-AF,3
4G43-02192-BA,2
4G43-02192-BB,2
4G43-02192-BB,3
4G43-02192-BC,2
4G43-02192-BC,3
4G43-02192-BF,2
4G43-02192-BF,3
4G43-02193-AA,2
4G43-02193-AB,2
4G43-02193-AB,3
4G43-02193-AC,2
4G43-02193-AC,3
4G43-02193-AF,2
4G43-02193-AF,3
4G43-02193-BA,2
4G43-02193-BB,2
4G43-02193-BB,3
4G43-02193-BC,2
4G43-02193-BC,3
4G43-02193-BF,2
4G43-02193-BF,3
4G43-02275-AA,2
4G43-02275-AA,3
4G43-02275-AB,2
4G43-02275-AB,3
4G43-02275-AB,5
4G43-02276-AB,2
4G43-02276-AB,3
4G43-02276-AB,5
4G43-02286-AA,2
4G43-02292-AA,2
4G43-02292-AA,3
4G43-02292-AB,2
4G43-02292-AB,3
4G43-02292-AB,4
4G43-02293-AA,2
4G43-02293-AA,3
4G43-02293-AB,2
4G43-02293-AB,3
4G43-02293-AB,4
4G43-02348-AAW,2
4G43-02348-ABW,2
4G43-02348-ACW,2
4G43-02348-ADW,2
4G43-02348-AEW,2
4G43-02348-AHW,2
4G43-02348-AJW,2
4G43-02348-BAW,2
4G43-02348-BBW,2
4G43-02348-BCW,2
4G43-02348-BDW,2
4G43-02348-BEW,2
4G43-02348-BHW,2
4G43-02348-BJW,2
4G43-02349-AAW,2
4G43-02349-ABW,2
4G43-02349-ACW,2
4G43-02349-ADW,2
4G43-02349-AEW,2
4G43-02349-AHW,2
4G43-02349-AJW,2
4G43-02349-BAW,2
4G43-02349-BBW,2
4G43-02349-BCW,2
4G43-02349-BDW,2
4G43-02349-BEW,2
4G43-02349-BHW,2
4G43-02349-BJW,2
4G43-02374-BAW,2
4G43-02374-CA,2
4G43-02374-CAW,2
4G43-02374-DA,2
4G43-02374-DAW,2
4G43-02374-EAW,2
4G43-02375-BAW,2
4G43-02375-CA,2
4G43-02375-CAW,2
4G43-02375-DA,2
4G43-02375-DAW,2
4G43-02377-EAW,2
4G43-023A50-AB,2
4G43-023A50-AB,3
4G43-023A50-A-PIA2,2
4G43-023A50-BB,1
4G43-025B38-CAW,2
4G43-025B38-CBW,2
4G43-025B38-CCW,2
4G43-025B38-CEW,2
4G43-025B39-CAW,2
4G43-025B39-CBW,2
4G43-025B39-CCW,2
4G43-025B39-CEW,2
4G43-025K90-AAW,2
4G43-025K90-ABW,2
4G43-025K90-ADW,2
4G43-025K91-AAW,2
4G43-025K91-ABW,2
4G43-025K91-ADW,2
4G43-026A30-AA,2
4G43-026A30-AB,2
4G43-026A30-AB,3
4G43-02738-AA,1
4G43-02738-AA,2
4G43-02738-AA,3
4G43-03276-CAW,2
4G43-03276-CAW,3
4G43-03276-CBW,3
4G43-03276-CCW,2
4G43-03276-CCW,3
4G43-03276-CDW,2
4G43-03276-CDW,3
4G43-03508-AA,2
4G43-03508-BA,2
4G43-03508-CA,2
